r,c,S
1,0.615,1.883
1,0.615,1.913
1,0.615,1.994
1,0.615,1.893
0.871,1.543,0.877
0.871,1.543,0.913
0.871,1.543,0.938
0.564,1.055,1.109
0.564,1.055,1.258
0.776,1.05,1.242
0.776,1.05,1.238
1,1.058,1.174
1,1.058,1.177
1,1.058,1.193
1,1.058,1.098
0.197,1.473,0.6
0.367,1.493,0.557
0.367,1.493,0.565
0.367,1.493,0.569
0.564,1.49,0.599
0.564,1.49,0.61
0.776,1.493,0.612
0.776,1.493,0.495
0.776,1.493,0.529
1,1.495,0.611
1,1.495,0.612
1,1.495,0.632
1,1.495,0.606
0.098,0.984,1.741
0.198,0.983,1.911
0.198,0.983,1.742
0.302,0.989,1.757
0.302,0.989,1.654
0.408,0.992,1.579
0.518,0.991,1.621
0.752,0.999,1.685
0.752,0.999,1.72
0.752,0.999,1.662
0.752,0.999,1.635
0.874,1.009,1.676
0.874,1.009,1.736
0.874,1.009,1.659
0.874,1.009,1.662
1,1.008,1.498
1,1.008,1.706
1,1.008,1.775
1,1.008,1.612
0.087,0.614,1.976
0.087,0.614,2.006
0.087,0.614,1.864
0.087,0.614,1.998
0.177,0.618,1.928
0.177,0.618,1.989
0.177,0.618,1.906
0.271,0.612,2.217
0.271,0.612,2.102
0.271,0.612,2.084
0.364,0.617,1.953
0.364,0.617,1.835
0.364,0.617,1.947
0.364,0.617,1.887
0.462,0.617,1.835
0.462,0.617,1.936
0.462,0.617,2.139
0.462,0.617,1.911
0.564,0.617,1.913
0.564,0.617,1.915
0.564,0.617,1.931
0.668,0.614,1.905
0.668,0.614,2.119
0.668,0.614,1.927
0.668,0.614,1.912
0.775,0.617,1.986
0.775,0.617,1.993
0.775,0.617,2.087
0.885,0.617,1.911
0.885,0.617,1.962
0.885,0.617,1.943
0.885,0.617,1.968
0.09,1.548,0.931
0.09,1.548,0.917
0.09,1.548,0.968
0.179,1.544,0.964
0.255,1.515,0.979
0.255,1.515,0.945
